name, durationInMinutes
take out the/some garbarge/clean something a little bit, 15
go for a walk, 60
greek history, 60
guitar: dust in the wind, 15
guitar: city of new orleans, 15
guitar: skip to my lou, 15
microcloud / fiverr, 60
checkup finances, 15
2 rounds c&c3, 70
1 round shadow tactics, 70
my-vpa, 25
read a book (in the backyard?), 60
watch a film, 60
solve a microcloud todo or prepare to do so, 25
solve a mahr edv todo or prepare to do so, 25
find someone to make music with, 120
play with onda-board, 60